contestant,age,city,state_abbr,season.x,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,gender,occupation,season_number,idols_found,idols_played
Jim Lynch,63,Northglenn,CO,Guatemala,18,1,NA,1,3,8,Male,Retired Fire Captain,11,NA,NA
Morgan McDevitt,21,Decatur,IL,Guatemala,17,1,NA,1,6,8,Female,Magician's Assistant,11,NA,NA
Brianna Varela,21,Edmonds,WA,Guatemala,16,1,NA,1,8,7,Female,Retail Salesperson,11,NA,NA
Brooke Struck,25,Hood River,OR,Guatemala,15,5,NA,5,11,5,Female,Law Student,11,NA,NA
Blake Towsley,24,Dallas,TX,Guatemala,14,7,NA,7,14,5,Male,Real Estate Broker,11,NA,NA
Margaret Bobonich,43,Chardon,OH,Guatemala,13,7,0,7,15,7,Female,Nurse Practitioner,11,NA,NA
Brian Corridan,22,New York City,NY,Guatemala,12,3,NA,3,15,7,Male,Ivy League Student,11,NA,NA
Amy O'Hara,39,Revere,MA,Guatemala,11,4,NA,4,18,4,Female,Police Sergeant,11,NA,NA
Brandon Bellinger,22,Manhattan,KS,Guatemala,10,8,0,8,21,6,Male,Farmer,11,NA,NA
Bobby Jon Drinkard,28,Los Angeles,CA,Guatemala,9,8,0,8,24,8,Male,Waiter,11,NA,NA
Jamie Newton,24,North Hollywood,CA,Guatemala,8,4,1,5,27,10,Male,Water Skiing Instructor,11,NA,NA
Gary Hogeboom,46,Grand Haven,MI,Guatemala,7,4,2,6,30,8,Male,Ex-NFL Quarterback,11,1,1
Judd Sergeant,34,Ridgefield,NJ,Guatemala,6,8,2,10,33,5,Male,Hotel Doorman,11,NA,NA
Cindy Hall,31,Naples,FL,Guatemala,5,8,2,10,36,6,Female,Zookeeper,11,NA,NA
Lydia Morales,42,Lakewood,WA,Guatemala,4,4,0,4,37,10,Female,Fishmonger,11,NA,NA
Rafe Judkins,22,Providence,RI,Guatemala,3rd,4,4,8,38,2,Male,Wilderness Guide,11,NA,NA
Stephenie LaGrossa,25,Tom's River,NJ,Guatemala,2,4,2,6,39,2,Female,Pharmaceutical Sales Respresentative,11,NA,NA
Danni Boatwright,30,Tonganozie,KS,Guatemala,1,8,3,11,39,1,Female,Sports Radio Host,11,NA,NA
Tina Scheer,44,Hayward,WI,Panama,16,1,NA,1,3,3,Female,Lumberjill,12,NA,NA
Melinda Hyder,32,Sevierville,TN,Panama,15,1,NA,1,6,5,Female,Singer/Entertainer,12,NA,NA
Misty Giles,24,Dallas,TX,Panama,14,4,NA,4,8,5,Female,Missile Engineer,12,NA,NA
Ruth-Marie Milliman,48,Greenville,SC,Panama,13,4,NA,4,11,6,Female,Real Estate,12,NA,NA
Bobby Mason,32,Los Angeles,CA,Panama,12,6,NA,6,14,3,Male,Attorney,12,NA,NA
Dan Barry,51,South Hadley,MA,Panama,11,6,NA,6,15,3,Male,Astronaut,12,NA,NA
Nick Stanbury,25,Tempe,AZ,Panama,10,6,0,6,18,6,Male,Financial Sales,12,NA,NA
Austin Carty,24,High Point,NC,Panama,9,6,0,6,21,7,Male,Writer,12,NA,NA
Sally Schumann,27,Chicago,IL,Panama,8,5,2,7,24,8,Female,Social Worker,12,NA,NA
Bruce Kanegai,57,Simi Valley,CA,Panama,7,7,2,9,25,2,Male,Art Teacher,12,NA,NA
Courtney Marit,31,Los Angeles,CA,Panama,6,6,2,8,30,4,Female,Fire Dancer,12,NA,NA
Shane Powers,34,Los Angeles,CA,Panama,5,7,0,7,33,9,Male,Marketing Executive,12,NA,NA
Cirie Fields,35,Walterboro,SC,Panama,4,6,1,7,36,3,Female,Nurse,12,NA,NA
Terry Deitz,46,Simsbury,CT,Panama,3rd,6,9,15,38,1,Male,Pilot,12,1,0
Danielle DiLorenzo,24,Pompano Beach,FL,Panama,2,6,2,8,39,4,Female,Medical Sales Rep.,12,NA,NA
